feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PF02836	treatment_group	ApcMUT_HpWT	0.190763072283687	0.337671621321594	9	9	0.589754485376596	0.742052457961785
PF05336	treatment_group	ApcMUT_HpWT	0.244512158684344	0.43331621823831	9	9	0.590176871155142	0.742052457961785
PF10157	treatment_group	ApcMUT_HpWT	-0.340617832212224	0.60359896378949	9	7	0.590157293597857	0.742052457961785
PF12128	treatment_group	ApcMUT_HpWT	-0.397303321063322	0.703353684159376	9	9	0.589797487014641	0.742052457961785
PF13685	treatment_group	ApcMUT_HpWT	0.366601447052565	0.648345221253104	9	9	0.589429148948123	0.742052457961785
PF15489	treatment_group	ApcMUT_HpWT	-0.340617832212224	0.60359896378949	9	7	0.590157293597857	0.742052457961785
PF18212	treatment_group	ApcMUT_HpWT	-0.152021038944103	0.269436638513295	9	9	0.590217457776756	0.742052457961785
PF18796	treatment_group	ApcMUT_HpWT	0.292222268596876	0.517259096443436	9	9	0.589749938370197	0.742052457961785
PF02445	treatment_group	ApcMUT_HpWT	0.230340180837687	0.409149297067734	9	9	0.59101998367534	0.742776027111854
PF12455	treatment_group	ApcMUT_HpWT	-0.397833150843548	0.706657792286768	9	4	0.591016703589454	0.742776027111854
PF11694	treatment_group	ApcMUT_HpWT	-0.260795690514112	0.463926781375258	9	2	0.591552264501532	0.743302230971203
PF16371	treatment_group	ApcMUT_HpWT	-0.26879838087491	0.478528491443698	9	9	0.591829614045458	0.743507965888553
PF00397	treatment_group	ApcMUT_HpWT	-0.832878229711809	1.48586612209682	9	9	0.592594686547669	0.744040604138132
PF06991	treatment_group	ApcMUT_HpWT	0.296034200095187	0.528017795456826	9	4	0.592518397035791	0.744040604138132
PF16266	treatment_group	ApcMUT_HpWT	-0.285192490716158	0.508737490516005	9	9	0.592559241001642	0.744040604138132
PF02954	treatment_group	ApcMUT_HpWT	-0.249132485137951	0.444634778678434	9	9	0.59274048519981	0.744080900661338
PF14533	treatment_group	ApcMUT_HpWT	-0.417551354420427	0.745643136947764	9	8	0.592947205040116	0.744197642842831
PF01345	treatment_group	ApcMUT_HpWT	-0.292403802642984	0.523395388699677	9	9	0.593801188585456	0.744555466201039
PF01937	treatment_group	ApcMUT_HpWT	0.300742544367658	0.538202020347258	9	9	0.593720969410597	0.744555466201039
PF01968	treatment_group	ApcMUT_HpWT	0.121444823507735	0.217310824659768	9	9	0.593680945814094	0.744555466201039
PF03256	treatment_group	ApcMUT_HpWT	0.190451823819276	0.340626089085351	9	9	0.593506530548371	0.744555466201039
