"taxon","lfc_(Intercept)","lfc_treatment_groupApcMUT_HpWT","se_(Intercept)","se_treatment_groupApcMUT_HpWT","W_(Intercept)","W_treatment_groupApcMUT_HpWT","p_(Intercept)","p_treatment_groupApcMUT_HpWT","q_(Intercept)","q_treatment_groupApcMUT_HpWT","diff_(Intercept)","diff_treatment_groupApcMUT_HpWT","passed_ss_(Intercept)","passed_ss_treatment_groupApcMUT_HpWT","diff_robust_(Intercept)","diff_robust_treatment_groupApcMUT_HpWT","Root","Domain","Phylum","Class","Order","Family","Genus","Species","prevalence"
"OTU_415",-0.261400759802455,0.430192640978191,0.0973148340529886,0.282154028711934,-2.68613477427419,1.5246730409701,0.0746587164032653,0.224744269502286,0.223976149209796,0.648790061016034,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","CANRXD01",NA,0.321428571428571
"OTU_163",-0.648965817149659,1.26448943749702,0.497002911201769,0.850933304558608,-1.30575858314479,1.48600299309349,0.232907407819129,0.180865331020032,0.488900939014563,0.576508242626351,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","COE1","COE1 sp000403215",0.785714285714286
"OTU_164",-0.586046635396865,0.978833370375828,0.161056724039888,0.363482307959948,-3.63875919425583,2.69293263782095,0.0149228700275459,0.0431470580095721,0.0787310039384319,0.329644327484106,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","COE1","COE1 sp000403335",0.785714285714286
"OTU_472",-0.123078410846992,0.351948813550653,0.229126399909733,0.399272787831911,-0.537163813927511,0.881474581480415,0.619642514633099,0.427843808078341,0.85861029123944,0.779369579081957,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","COE1","COE1 sp009774395",0.571428571428571
"OTU_160",-0.93593445099684,1.25554374115625,0.029888100242928,0.341922132249919,-31.3146183059358,3.672016587211,6.2349752999979e-07,0.0144130187156977,9.53951220899679e-05,0.226566993278378,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Caccovicinus","Caccovicinus sp009774615",0.821428571428571
"OTU_161",0.0925981030836578,-0.211633151864189,0.0997645396638714,0.262499332083444,0.928166494785032,-0.806223582301973,0.421784010693379,0.479099819220481,0.672517284453239,0.796763829790582,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Caccovicinus","Caccovicinus sp910585635",0.857142857142857
"OTU_56",0.483055646140912,-0.730328438560846,0.206678673206081,0.37224956096888,2.3372302456154,-1.96193230331815,0.0666092559200999,0.107022981362246,0.212317003245318,0.454847670789544,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Caccovicinus",NA,0.892857142857143
"OTU_464",-0.788225646094726,1.24156787157947,0.270795934001037,0.39911352232454,-2.91077356461234,3.11081384651731,0.0436443494816039,0.0358436467525584,0.174075963822443,0.304670997396747,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_F","Eubacterium_F sp910584245",0.607142857142857
"OTU_198",-0.843968797120573,1.43019715339232,0.0657682291567415,0.285665652875355,-12.8324695364565,5.00654222513882,5.11567379878374e-05,0.00408179589905484,0.00195674522803478,0.193379344491804,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium_J","Eubacterium_J sp009774535",0.714285714285714
"OTU_381",0.139482335673919,-0.0903192597719696,0.1642327257507,0.405863072630838,0.849296844075089,-0.222536283447796,0.458115981706519,0.838186367401725,0.715221889807117,0.969752678933756,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"Root","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Hominiventricola","Hominiventricola sp910584205",0.392857142857143
