feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
K00382	treatment_group	ApcMUT_HpWT	-1.70633238328456	0.536248016193036	9	9	0.0154479464816566	0.660316134498869
K00390	treatment_group	ApcMUT_HpWT	1.13987415440253	0.421552257926749	9	9	0.0304625525658627	0.660316134498869
K00419	treatment_group	ApcMUT_HpWT	-0.917620503347563	0.432633680415844	9	8	0.071614577257405	0.660316134498869
K00425	treatment_group	ApcMUT_HpWT	-1.71609138313626	0.653007349467798	9	9	0.0340122326705802	0.660316134498869
K00426	treatment_group	ApcMUT_HpWT	-0.917458736552776	0.394338217884242	9	9	0.0528796673562872	0.660316134498869
K00432	treatment_group	ApcMUT_HpWT	-0.946674926356852	0.369685059213295	9	9	0.0375099646474184	0.660316134498869
K00446	treatment_group	ApcMUT_HpWT	-1.96477857440103	0.839605613943261	9	3	0.0518357466600119	0.660316134498869
K00448	treatment_group	ApcMUT_HpWT	-0.601775225464937	0.313762800999294	9	2	0.0966235748418912	0.660316134498869
K00450	treatment_group	ApcMUT_HpWT	-2.5217588962469	1.15397606304013	9	5	0.065131188783988	0.660316134498869
K00459	treatment_group	ApcMUT_HpWT	-1.00234029494362	0.622997328507038	9	2	0.15167360226901	0.660316134498869
K00477	treatment_group	ApcMUT_HpWT	-1.06621384130746	0.80872826833092	9	6	0.228873493799668	0.660316134498869
K00478	treatment_group	ApcMUT_HpWT	0.739588549431288	0.596989175495083	9	2	0.25532278651224	0.660316134498869
K00502	treatment_group	ApcMUT_HpWT	-0.743649193750678	0.537039272061697	9	3	0.208665907498894	0.660316134498869
K00507	treatment_group	ApcMUT_HpWT	-0.546087607570287	0.404723678731419	9	9	0.219255825733345	0.660316134498869
K00508	treatment_group	ApcMUT_HpWT	-1.35559796942504	0.532247055537442	9	3	0.0382745460391259	0.660316134498869
K00522	treatment_group	ApcMUT_HpWT	-0.804756060572304	0.367997502320963	9	9	0.0649800562711397	0.660316134498869
K00525	treatment_group	ApcMUT_HpWT	1.07070563570577	0.810809050401844	9	7	0.228190547472536	0.660316134498869
K00533	treatment_group	ApcMUT_HpWT	-1.46325410552114	0.563592212417013	9	4	0.0356165413616121	0.660316134498869
K00541	treatment_group	ApcMUT_HpWT	-0.570927015426913	0.466162315433066	9	8	0.260284907312171	0.660316134498869
K00543	treatment_group	ApcMUT_HpWT	-1.25486757764791	0.661325854209683	9	8	0.0995709949713001	0.660316134498869
K00544	treatment_group	ApcMUT_HpWT	-0.621743946330169	0.281010060220019	9	9	0.0625629409899977	0.660316134498869
K00545	treatment_group	ApcMUT_HpWT	-0.520486172195058	0.373623453166168	9	9	0.206235495134122	0.660316134498869
K00547	treatment_group	ApcMUT_HpWT	1.09046648553199	0.824043615555305	9	4	0.22731536007141	0.660316134498869
K00548	treatment_group	ApcMUT_HpWT	0.399715985706587	0.315348458871106	9	9	0.24549775472267	0.660316134498869
K00552	treatment_group	ApcMUT_HpWT	-1.23147185191593	0.887548657808343	9	6	0.207855284142238	0.660316134498869
K00554	treatment_group	ApcMUT_HpWT	0.536640611197211	0.414172640485088	9	9	0.236167690569954	0.660316134498869
K00555	treatment_group	ApcMUT_HpWT	-0.591831061552708	0.292613469832578	9	9	0.0828157868023422	0.660316134498869
K00562	treatment_group	ApcMUT_HpWT	-0.507611007902677	0.379751591848996	9	9	0.223131555262743	0.660316134498869
K00575	treatment_group	ApcMUT_HpWT	0.761563807846403	0.356952122119374	9	9	0.0703040181157915	0.660316134498869
K00586	treatment_group	ApcMUT_HpWT	0.567544684973281	0.421733098161287	9	2	0.220339724254893	0.660316134498869
K00587	treatment_group	ApcMUT_HpWT	-0.822625265795213	0.291350761093632	9	9	0.0256446169084349	0.660316134498869
K00598	treatment_group	ApcMUT_HpWT	1.62230631819727	1.22890556438204	9	4	0.228322457384395	0.660316134498869
K00602	treatment_group	ApcMUT_HpWT	-0.373532536353917	0.204306561096485	9	9	0.110220589676159	0.660316134498869
K00615	treatment_group	ApcMUT_HpWT	0.412809736427059	0.334549641861877	9	9	0.25704806486486	0.660316134498869
K00627	treatment_group	ApcMUT_HpWT	-2.16427597018698	0.845752375383912	9	4	0.037606716630511	0.660316134498869
K00632	treatment_group	ApcMUT_HpWT	-1.42540107503413	0.92695939848271	9	3	0.168004217186589	0.660316134498869
K00639	treatment_group	ApcMUT_HpWT	0.597137465847596	0.253662282017659	9	9	0.0507828130080137	0.660316134498869
K00649	treatment_group	ApcMUT_HpWT	-0.945269451832296	0.532579686587719	9	8	0.11918206345924	0.660316134498869
K00650	treatment_group	ApcMUT_HpWT	-0.5701432412588	0.333839342726013	9	9	0.131422608053324	0.660316134498869
K00652	treatment_group	ApcMUT_HpWT	-0.641053424420416	0.214592959413186	9	9	0.0203038363744151	0.660316134498869
K00654	treatment_group	ApcMUT_HpWT	-0.68112831986388	0.344242262607627	9	9	0.0883599714824594	0.660316134498869
K00656	treatment_group	ApcMUT_HpWT	0.409243721672101	0.298461626342039	9	9	0.21265879254154	0.660316134498869
K00658	treatment_group	ApcMUT_HpWT	0.756029775920058	0.614363225166553	9	2	0.258219269801652	0.660316134498869
K00659	treatment_group	ApcMUT_HpWT	-0.657370771131878	0.331464155102614	9	9	0.0877624701967136	0.660316134498869
K00666	treatment_group	ApcMUT_HpWT	-0.299109026140688	0.195759443590157	9	9	0.170369214012544	0.660316134498869
