"","Duncaniella sp. B8","Muribaculum gordoncarteri","Duncaniella dubosii","Paramuribaculum intestinale","Muribaculum intestinale","Acutalibacter muris","Mucispirillum schaedleri","Bacteroides uniformis","Blautia producta","Enterocloster bolteae","[Clostridium] scindens","Bacteroides caecimuris","Duncaniella sp. C9","Blautia massiliensis (ex Durand et al. 2017)","Flavonifractor plautii","Clostridium sp. 10cd*","Mediterraneibacter gnavus","Bacteroides faecium","Ligilactobacillus murinus","uncultured Alistipes sp.","Xanthomonas euvesicatoria","Enterococcus faecalis","Eisenbergiella porci","Parabacteroides distasonis","Enterocloster clostridioformis","Clostridium sp. MD294","[Clostridium] innocuum","Faecalibaculum rodentium","Klebsiella pneumoniae","Faecalibacterium prausnitzii","Hungatella hathewayi","Simiaoa sunii","Ihubacter sp. rT4E-8","Lawsonibacter asaccharolyticus","Alistipes finegoldii","Staphylococcus aureus","Emergencia sp. JLR.KK010","Roseburia intestinalis","Alistipes onderdonkii","Halomonas sp. N3-2A","Enterocloster lavalensis","Alistipes shahii","[Clostridium] symbiosum","Blautia pseudococcoides","Oscillibacter hominis","Bacteroides xylanisolvens","Dysosmobacter welbionis","Alistipes senegalensis","Marvinbryantia formatexigens","Roseburia hominis"
"[Clostridium] scindens",-0.68066406399459,-0.746311574913387,-0.730304688547949,-0.777823481442683,-0.815985820909761,0.267867298955092,0.129360428099095,-0.0908479645200407,0.628884346183964,0.221804293436122,1,-0.451877765619902,-0.534906110868372,0.806491247887489,0.186850604848705,0.547783929527347,0.737754293650931,-0.386634554213082,0.230329556379057,-0.320068144167989,0.0326161234224965,0.694183577469446,0.648746945941209,-0.960458895662675,0.485006201301179,-0.16624851813925,0.637087845644132,-0.229101328160822,0.504183890621418,0.329860188837519,0.787995015797983,0.804526832976028,0.688302599092087,0.0892066335129746,-0.475353999297235,0.614076169506791,0.0933989037032406,0.632957052193279,-0.295378224435892,0.51777323387651,0.326817186387694,-0.473816694620716,0.174789670547953,0.75562207080165,0.243041062178569,-0.703142826280971,0.171242510681859,-0.244751507471354,0.852130261291735,0.864153919958344
"Bacteroides caecimuris",0.587970954194534,0.412266893315922,0.53681048250123,0.598448161840333,0.644393803789724,-0.234803910348461,-0.42183189150345,0.341393669960242,-0.737949959702354,-0.410307896464348,-0.451877765619902,1,0.498996846335405,-0.546874954025462,-0.0153022980324814,-0.51421793608034,-0.310285888731452,0.993971013568828,0.0733632824376202,0.138594120081854,-0.0216072319090387,-0.548135124736064,-0.344445960746862,0.684523808462647,-0.592099543772285,-0.317796793948635,-0.531656274901787,0.041637315550723,-0.216246486443394,-0.218633257110256,-0.686784105168766,-0.466805730167936,-0.505852680039287,-0.046670901042637,0.126557442857547,-0.166918264360866,-0.327015781526254,-0.514883349993837,0.0816729767367392,-0.184222668729806,-0.361408771894827,0.146416091459453,-0.532934072003535,-0.666347268607834,0.0496756558943045,0.913107962062002,-0.0296603501775736,0.0992226775644663,-0.610242308480365,-0.606857416285403
"Duncaniella sp. C9",0.858484874060818,0.680652809751121,0.940247873375543,0.762541511666112,0.878873079215164,-0.127848311187285,-0.527246155245949,0.296423808248255,-0.552257769885876,-0.197350221382883,-0.534906110868372,0.498996846335405,1,-0.490124012277124,0.206367777885768,-0.367257794440633,-0.218686486491762,0.43144380777785,-0.106492098247902,-0.133817270011857,-0.311355573016697,-0.388228987247777,-0.313286061700897,0.896977390908885,-0.31238431125985,0.0413029246727628,-0.207406478484755,-0.0528219809817848,-0.517066168479527,0.0245173071600849,-0.689986467700807,-0.428434098959687,-0.616873977153555,0.187162730804192,-0.155565584864908,-0.476163503392506,-0.406187838975111,-0.315501001014285,-0.153381581960069,-0.492948706522416,-0.0903036145395623,-0.00320494366144082,-0.457001753773162,-0.525078007472543,0.298699412700857,0.707337715824792,0.240776668068798,-0.102410683593664,-0.660576753169703,-0.555319692286582
"Blautia massiliensis (ex Durand et al. 2017)",-0.75473882894533,-0.712903565916106,-0.649556123446099,-0.745738150378416,-0.801589131455089,0.16780743787422,0.0968265307085524,-0.0622657082564291,0.76723914311283,0.338875216467926,0.806491247887489,-0.546874954025462,-0.490124012277124,1,0.196957589420313,0.81422425858368,0.789956554678844,-0.496658184881515,0.200739376389917,-0.370488443442065,-0.101688188729859,0.574140010421812,0.581752154227589,-0.916189751180849,0.589320378839539,0.179394692051309,0.675889954438055,-0.305361839697343,0.545928701680397,0.427223082501388,0.794360650231405,0.664337595328172,0.618999821636831,0.0786041587859572,-0.47626129749744,0.672061670165036,0.0559822604958196,0.821609780273962,-0.346270043046488,0.551364371851649,0.393280790031636,-0.493597848852338,0.347023988572013,0.872991937083069,0.28645644686903,-0.765112454495577,0.220548184576525,-0.259582408451622,0.814054616145172,0.881287698570139
"Flavonifractor plautii",-0.0123098477818704,-0.0237354001471062,0.082496843302958,-0.154340605194456,0.202019659454953,0.903456549652931,0.139933096149465,0.239256499767767,0.0541716797797813,0.571924163873577,0.186850604848705,-0.0153022980324813,0.206367777885768,0.196957589420313,1,0.239419192184613,0.311739347569647,0.00879928520489584,-0.580563537135571,0.203001212866139,-0.468148273264837,0.48326096769349,0.702553043805009,0.117722241592534,0.101193965790092,0.517679622645924,0.306018331473575,-0.368907855580501,-0.51882755066467,0.931513315838566,0.00149785010378982,0.0422586075269133,-0.0198241783268696,0.979027807761256,-0.0145570406250646,-0.500760462473752,-0.432964680114807,0.272935197677972,0.149538105930778,-0.551657340787064,0.603395490106928,0.240526298282265,-0.136976383443429,0.0101408771947951,0.988715520038874,0.104917302383992,0.984770280123521,0.204668827990796,-0.0997184009849691,0.0879521751208358
"Clostridium sp. 10cd*",-0.608014366248014,-0.431610110301035,-0.4623363219462,-0.538965387572965,-0.577383224016225,0.230920916402777,0.0343405778470429,-0.00170116314167267,0.688966712120149,0.245822659587966,0.547783929527347,-0.51421793608034,-0.367257794440633,0.81422425858368,0.239419192184613,1,0.766914196941968,-0.493142492059005,0.139514433201632,-0.497182167013252,-0.0332569491554692,0.430588001302668,0.44336751605139,-0.711553615991982,0.574809133599737,0.36411459601872,0.566769211631495,-0.364233957101155,0.485238787498864,0.432380680792881,0.633303439263474,0.451186251939841,0.434650626552262,0.128853034076745,-0.432524932344443,0.581291325819525,0.190720098690761,0.743101680779537,-0.471613067297362,0.465971901771585,0.233120954321682,-0.578984212772969,0.50175290536834,0.842262457822242,0.298989929111437,-0.64154382675172,0.272119989166717,-0.394719582454176,0.598022558296748,0.629846277352001
"Mediterraneibacter gnavus",-0.489840066204063,-0.386072089071728,-0.399059924637951,-0.482857951541159,-0.479888681662079,0.334170697855443,-0.0298149852234868,0.0186869563409418,0.593270775918031,0.317605455400126,0.737754293650931,-0.310285888731452,-0.218686486491762,0.789956554678844,0.311739347569647,0.766914196941968,1,-0.280180878901543,0.0622564893115205,-0.510033310339342,-0.162969508416625,0.500087778639106,0.698365754378828,-0.623502026879195,0.582166714623567,0.130402993634129,0.592883057998759,-0.46055775628953,0.33185531253454,0.486704166477945,0.720411784449006,0.621595894125025,0.494667955275783,0.197411891213837,-0.536020797564303,0.411295320392433,0.0163084755328835,0.742214669220616,-0.49643348923692,0.328686845235704,0.440237201318053,-0.582348250815273,0.31553488203942,0.752391164018736,0.391153755320952,-0.460818185395825,0.339737397829781,-0.426619403759228,0.677930181679748,0.698211268107386
"Bacteroides faecium",0.515824176167816,0.338110650602147,0.462467048720816,0.519473672696647,0.580846026152116,-0.181556874725671,-0.370841633234153,0.343762087535366,-0.706623680539501,-0.356923450475208,-0.386634554213082,0.993971013568828,0.43144380777785,-0.496658184881515,0.00879928520489584,-0.493142492059005,-0.280180878901543,1,0.0467147653557507,0.194209741306311,-0.0088353570319357,-0.506504461718156,-0.271378978627921,0.629970122000886,-0.578137015345685,-0.323080856673253,-0.511656430836927,0.00170997586150028,-0.209785082151522,-0.178775790705017,-0.625361523070205,-0.431677422403303,-0.46274901455216,-0.0222868977509164,0.165057501585227,-0.162370033112028,-0.32793402992364,-0.476032784268922,0.136168211619798,-0.178081088137568,-0.313760828873502,0.193262104500933,-0.537001208007329,-0.636455841376871,0.064055084789735,0.890699250919975,-0.0102326062311165,0.147857896537023,-0.555689454209016,-0.552599514759088
"Ligilactobacillus murinus",-0.00747942538506243,0.0836782617454862,-0.0699070918275632,0.138889404640898,-0.124458125986485,-0.562725937904504,-0.0567076178995431,-0.41909386750835,0.390022092033203,-0.157388868330963,0.230329556379057,0.0733632824376202,-0.106492098247902,0.200739376389917,-0.580563537135571,0.139514433201632,0.0622564893115205,0.0467147653557507,1,-0.238985737254134,0.151422568038513,0.0467404130219926,-0.253518589136633,-0.0458214944690936,0.386311837525178,-0.400147474732649,0.0754787293606467,0.216928061795917,0.458258089004614,-0.423236028800024,0.255476486398971,0.263563023989601,0.384422012384212,-0.606490262505352,-0.203297615771382,0.443832282060544,0.647307093653685,0.199492752514651,-0.176178272635294,0.400534475684069,-0.0667274547764983,-0.212393041935406,0.507781522899097,0.255870958456868,-0.607304727554442,-0.0780859699772202,-0.589655226895743,-0.212972425868425,0.43587370282926,0.306378168161151
"uncultured Alistipes sp.",-0.143531237471249,-0.100894308859692,-0.158750108336037,-0.255081540039286,-0.1065231910941,0.0837236115549257,0.295363397278846,0.037934941964233,-0.303936517212072,0.103004556395311,-0.320068144167989,0.138594120081854,-0.133817270011857,-0.370488443442065,0.203001212866139,-0.497182167013252,-0.510033310339342,0.194209741306311,-0.238985737254134,1,0.0926683696077868,-0.0919646590262136,0.057845669702825,0.00411590312571067,-0.397066028447295,-0.124234377937557,-0.250932838600338,0.101221493913241,-0.310528354685857,0.111238044176701,-0.246967904111899,-0.190094193445206,-0.0648272494747474,0.179364215313801,0.832853199883123,-0.183272808205501,-0.354361137245387,-0.389713618437447,0.983860609873947,-0.210629631214789,0.047977955151958,0.972889511937193,-0.437183640632677,-0.424768463326574,0.222095355494958,0.13498220174006,0.190489461190199,0.986463183765874,-0.281743776792966,-0.205690036889065
"Xanthomonas euvesicatoria",-0.101267487669828,-0.133587324203593,-0.258635898832664,-0.0494400854987768,-0.311248098157062,-0.327295147377568,0.00739396989948121,-0.062320656056387,-0.0712793313361866,-0.377846251857016,0.0326161234224965,-0.0216072319090387,-0.311355573016697,-0.101688188729859,-0.468148273264837,-0.0332569491554692,-0.162969508416625,-0.0088353570319357,0.151422568038513,0.0926683696077868,1,-0.303373698655277,-0.237367325127051,-0.335807436924833,-0.169856266414442,-0.279884766141429,-0.264938172219886,0.26581601319603,0.560117292043581,-0.495048818681161,0.137583102228449,-0.0111666725348503,-0.0247710135928018,-0.491008402646967,0.30052634016697,0.680579249521536,0.137183983551047,-0.197417719753556,0.0938662353467169,0.688871807812622,-0.555001669031522,-0.0658802036211419,0.0945355910901383,0.0647889443627434,-0.478140351309386,-0.145615470744245,-0.503386375386993,0.0947757893535977,0.0769021348103866,-0.0870488417503975
"Enterococcus faecalis",-0.586724595065578,-0.491026573918186,-0.53197962689118,-0.643137011663399,-0.508647352109066,0.558412420251418,0.371857677055655,-0.208009303433509,0.718520840391268,0.709357986832518,0.694183577469446,-0.548135124736064,-0.388228987247777,0.574140010421812,0.48326096769349,0.430588001302668,0.500087778639105,-0.506504461718156,0.0467404130219926,-0.0919646590262136,-0.303373698655277,1,0.606481389796932,-0.594868546677865,0.473485093855393,0.152963823438706,0.560292441636117,-0.322451187710245,0.156766709366004,0.595919260034783,0.568885043854229,0.445188682984307,0.727336851380387,0.422421226469094,-0.354204006140225,0.166079496860591,0.251849078759074,0.572482261370487,-0.0807964610645576,0.0918961660364558,0.654573182656004,-0.124737286650581,0.245686693129132,0.54212242074304,0.419781020248657,-0.604672722473341,0.443749771132547,-0.0502677051815594,0.540241779320634,0.66613213648224
"Eisenbergiella porci",-0.60079420421028,-0.516908930631927,-0.547689377629029,-0.757804897549909,-0.559339888356562,0.673349965037233,0.10987786980537,-0.0767940105192414,0.369105950297698,0.48773416441435,0.64874694594121,-0.344445960746862,-0.313286061700897,0.581752154227589,0.702553043805009,0.44336751605139,0.698365754378828,-0.271378978627921,-0.253518589136633,0.057845669702825,-0.237367325127051,0.606481389796932,1,-0.726943886551316,0.315369961587758,0.10358471605794,0.502660594687669,-0.393069122266187,-0.0307456492223546,0.778634206082984,0.627482553380529,0.567490761838236,0.386133485498681,0.620634725044202,-0.108754412176815,0.110361263490322,-0.512854514214391,0.485612639787905,0.0460769591080485,-0.000645911775073128,0.55292878637149,-0.0341653334759986,-0.00573677472425442,0.464596934822372,0.773791746169773,-0.400539876879921,0.715068381232368,0.114338754785601,0.490373308456459,0.554537278528594
"Parabacteroides distasonis",0.837728291035274,0.678901447775806,0.92534689094371,0.818872500944327,0.929884906953231,-0.282289396335976,-0.447032979906703,0.379525669445881,-0.892001869015558,-0.407988300501463,-0.960458895662675,0.684523808462647,0.896977390908885,-0.916189751180849,0.117722241592534,-0.711553615991982,-0.623502026879195,0.629970122000886,-0.0458214944690936,0.00411590312571067,-0.335807436924833,-0.594868546677865,-0.726943886551316,1,-0.767604721843362,0.0149948897343185,-0.641793876862469,0.059922941756828,-0.529532958951413,-0.194698657537579,-1,-0.838920926997083,-0.774925447618491,0.102843282760979,-0.00190890034292849,-0.454329902055439,-0.422909306044438,-0.617029298895799,-0.0445784179130824,-0.489310651274611,-0.350894158926035,0.114070382876539,-0.730145359222437,-0.90816849165215,0.239815182847253,0.781481050210194,0.158123474237845,0.0315016897490821,-1,-0.936071501491376
"Enterocloster clostridioformis",-0.525452338519963,-0.319639034230906,-0.448128314805271,-0.436713010438641,-0.605578859823519,0.0111368319617033,0.194103853098614,-0.453529142926217,0.796972417520647,0.203765280943933,0.485006201301179,-0.592099543772285,-0.31238431125985,0.589320378839539,0.101193965790092,0.574809133599737,0.582166714623567,-0.578137015345685,0.386311837525178,-0.397066028447295,-0.169856266414442,0.473485093855393,0.315369961587758,-0.767604721843362,1,0.0784723374138494,0.792894025787527,-0.203568342405341,0.404852961093826,0.342360489270312,0.510475714247892,0.666833591421093,0.624107495419588,0.0102479467433231,-0.515515395532803,0.503344081159347,0.0504583259355816,0.62170961166585,-0.355077366814508,0.420915581341756,0.443748674769711,-0.467092097396179,0.579607362336015,0.668777875485575,0.185173030398378,-0.794110268853778,0.149169021908125,-0.319429692616041,0.608099517097657,0.729798940129939
"Clostridium sp. MD294",-0.129253100851911,0.0153320198389058,0.0973543830426765,-0.00218722692814667,0.0874117098337377,0.395943121026372,0.127742482184822,0.327615385609354,0.112000142371912,0.343734113044152,-0.16624851813925,-0.317796793948635,0.0413029246727628,0.179394692051309,0.517679622645924,0.36411459601872,0.130402993634129,-0.323080856673253,-0.400147474732649,-0.124234377937557,-0.279884766141429,0.152963823438706,0.10358471605794,0.0149948897343185,0.0784723374138494,1,0.124169592924303,-0.209884501632362,-0.125231615632446,0.513929403690009,-0.113927527308785,-0.223301455647556,-0.101954614838134,0.494655923855597,-0.10330258656581,-0.0616973612436117,-0.108947522745578,0.298186301822586,-0.156790008282459,-0.120541436477979,0.225579111001834,-0.114927405399401,0.172203257182089,0.153264359520052,0.561328608618329,-0.295846518965783,0.549466144741272,-0.0711469973629923,-0.205972118955403,-0.0490918537121889
"[Clostridium] innocuum",-0.3516062904781,-0.411391593340006,-0.35673560375527,-0.44394184405954,-0.47045018372339,0.195392901188294,0.0572748827392923,-0.15607163909042,0.712843111266972,0.21550695324637,0.637087845644132,-0.531656274901787,-0.207406478484755,0.675889954438055,0.306018331473575,0.566769211631495,0.592883057998759,-0.511656430836927,0.0754787293606467,-0.250932838600338,-0.264938172219886,0.560292441636117,0.502660594687669,-0.641793876862469,0.792894025787527,0.124169592924303,1,-0.292194141451096,0.181554251126027,0.522045493973183,0.561483284600887,0.721076151502664,0.63178207048785,0.232770745333511,-0.397829971814041,0.24061447544983,0.0360373036413444,0.625559178214881,-0.19376846829597,0.186432492774933,0.560178079581718,-0.304696405005382,0.32779195276889,0.618757658967348,0.353000537822357,-0.611440679694564,0.317561807790557,-0.162198961255168,0.720681090989694,0.782492424847266
"Faecalibaculum rodentium",0.184465411654727,0.170625693895509,0.0734168345591305,0.221123130317273,0.0824815763418614,-0.305492731892635,0.169931887882705,-0.181773269465028,-0.21068076203737,-0.438838445837251,-0.229101328160822,0.041637315550723,-0.0528219809817848,-0.305361839697343,-0.368907855580501,-0.364233957101155,-0.46055775628953,0.00170997586150028,0.216928061795917,0.101221493913241,0.26581601319603,-0.322451187710245,-0.393069122266187,0.059922941756828,-0.203568342405341,-0.209884501632362,-0.292194141451096,1,0.248674333227719,-0.499150336792082,-0.176631882081031,0.0093614502224277,-0.201025776404217,-0.301066573504538,0.201282465550489,0.266054104580669,0.0822875501732083,-0.48890432841362,0.112936666836131,0.256801288158912,-0.517931757885756,0.0530568558503878,0.197086351141342,-0.193084962510297,-0.298969712970302,0.0228418604482307,-0.351035282621947,0.0810462761354561,-0.124307229609442,-0.262284560771613
