"feature","metadata","value","coef","stderr","pval","name","qval","N","N.not.zero"
"PF13342","treatment_group","ApcMUT_HpWT",-0.137069482371128,0.377252779658101,0.727078505378252,"treatment_groupApcMUT_HpWT",0.833421218986737,9,9
"PF01483","treatment_group","ApcMUT_HpWT",-0.155083531420499,0.428631627678326,0.728168626466683,"treatment_groupApcMUT_HpWT",0.834451300419958,9,9
"PF08533","treatment_group","ApcMUT_HpWT",0.18360321105167,0.507581177431477,0.728232178590829,"treatment_groupApcMUT_HpWT",0.834451300419958,9,9
"PF14491","treatment_group","ApcMUT_HpWT",-0.188861736906047,0.522511897291662,0.728426833554192,"treatment_groupApcMUT_HpWT",0.834465658409874,9,9
"PF12985","treatment_group","ApcMUT_HpWT",-0.283141641254838,0.783571205836387,0.728499741212654,"treatment_groupApcMUT_HpWT",0.834465658409874,9,7
"PF02566","treatment_group","ApcMUT_HpWT",-0.428497408300392,1.18850222218023,0.729080542690584,"treatment_groupApcMUT_HpWT",0.834984786728594,9,9
"PF13244","treatment_group","ApcMUT_HpWT",0.0575281278552236,0.159678166692811,0.729266658635785,"treatment_groupApcMUT_HpWT",0.834987485730465,9,9
"PF01082","treatment_group","ApcMUT_HpWT",-0.181421969143932,0.503839666851452,0.729407391887834,"treatment_groupApcMUT_HpWT",0.834987485730465,9,9
"PF04500","treatment_group","ApcMUT_HpWT",-0.0904039702571919,0.251124024541678,0.729465687029503,"treatment_groupApcMUT_HpWT",0.834987485730465,9,9
"PF03738","treatment_group","ApcMUT_HpWT",-0.238740454346698,0.664231318200462,0.729876172570757,"treatment_groupApcMUT_HpWT",0.835201471792756,9,7
"PF13340","treatment_group","ApcMUT_HpWT",-0.162327045143702,0.451687180620607,0.729907887711304,"treatment_groupApcMUT_HpWT",0.835201471792756,9,9
"PF16220","treatment_group","ApcMUT_HpWT",-0.13287768735883,0.370011736416826,0.730095303752501,"treatment_groupApcMUT_HpWT",0.835269871985379,9,2
"PF00780","treatment_group","ApcMUT_HpWT",-0.271463110238437,0.757004677430061,0.730464577375448,"treatment_groupApcMUT_HpWT",0.835546267146466,9,9
"PF02297","treatment_group","ApcMUT_HpWT",0.276637143950496,0.773697738360049,0.731216201495124,"treatment_groupApcMUT_HpWT",0.836259843163945,9,8
"PF09087","treatment_group","ApcMUT_HpWT",-0.211781190708609,0.592734724178613,0.731400204245358,"treatment_groupApcMUT_HpWT",0.836324119619364,9,9
"PF06337","treatment_group","ApcMUT_HpWT",0.19832414972784,0.556675779294499,0.732138106018697,"treatment_groupApcMUT_HpWT",0.837021622254778,9,9
"PF00349","treatment_group","ApcMUT_HpWT",-0.237217727850898,0.668011860912282,0.732965976588049,"treatment_groupApcMUT_HpWT",0.837783251344054,9,9
"PF13229","treatment_group","ApcMUT_HpWT",-0.207255536818246,0.584073596497336,0.733156078258348,"treatment_groupApcMUT_HpWT",0.837783251344054,9,9
"PF03886","treatment_group","ApcMUT_HpWT",0.25989103602374,0.732500380750643,0.733188368039028,"treatment_groupApcMUT_HpWT",0.837783251344054,9,3
"PF12900","treatment_group","ApcMUT_HpWT",0.114272537378926,0.322824949395345,0.733778612742729,"treatment_groupApcMUT_HpWT",0.838155123338303,9,9
"PF00902","treatment_group","ApcMUT_HpWT",-0.175148006686716,0.494858681939485,0.733808293314289,"treatment_groupApcMUT_HpWT",0.838155123338303,9,9
"PF03724","treatment_group","ApcMUT_HpWT",0.189023449121866,0.534250896627158,0.733898052678557,"treatment_groupApcMUT_HpWT",0.838155123338303,9,9
"PF00271","treatment_group","ApcMUT_HpWT",0.0661729522893919,0.187617019041986,0.734692954037931,"treatment_groupApcMUT_HpWT",0.838916540084491,9,9
"PF14310","treatment_group","ApcMUT_HpWT",0.0914025263616933,0.259769285040678,0.73529718711889,"treatment_groupApcMUT_HpWT",0.83946001264934,9,9
"PF05676","treatment_group","ApcMUT_HpWT",-0.299532530575053,0.853219971569272,0.735870889756649,"treatment_groupApcMUT_HpWT",0.839617342293624,9,3
"PF03892","treatment_group","ApcMUT_HpWT",-0.283599168814533,0.808412510959656,0.736051384426131,"treatment_groupApcMUT_HpWT",0.839617342293624,9,5
"PF09202","treatment_group","ApcMUT_HpWT",-0.124842667266598,0.3558937480334,0.7360683501123,"treatment_groupApcMUT_HpWT",0.839617342293624,9,9
"PF00196","treatment_group","ApcMUT_HpWT",-0.11842253090839,0.337632817194773,0.736099087774614,"treatment_groupApcMUT_HpWT",0.839617342293624,9,9
"PF04505","treatment_group","ApcMUT_HpWT",-0.194542208868914,0.554874840747002,0.736198178065398,"treatment_groupApcMUT_HpWT",0.839617342293624,9,9
"PF04693","treatment_group","ApcMUT_HpWT",0.274586247669797,0.783638298299628,0.736346382309024,"treatment_groupApcMUT_HpWT",0.839617342293624,9,7
"PF10262","treatment_group","ApcMUT_HpWT",-0.0632879073952351,0.180694141126833,0.736454418656408,"treatment_groupApcMUT_HpWT",0.839617342293624,9,9
"PF02847","treatment_group","ApcMUT_HpWT",0.173560179628538,0.49554775794529,0.736461421877354,"treatment_groupApcMUT_HpWT",0.839617342293624,9,8
"PF01843","treatment_group","ApcMUT_HpWT",-0.131610296548229,0.376120737516933,0.736694188785511,"treatment_groupApcMUT_HpWT",0.839710018153354,9,9
"PF09380","treatment_group","ApcMUT_HpWT",-0.130256761321106,0.372503548750664,0.736863573172158,"treatment_groupApcMUT_HpWT",0.839710018153354,9,9
"PF14849","treatment_group","ApcMUT_HpWT",0.206616932952172,0.59118425816517,0.736994748425972,"treatment_groupApcMUT_HpWT",0.839710018153354,9,9
"PF12893","treatment_group","ApcMUT_HpWT",0.146185397704533,0.419106815695506,0.73749376860385,"treatment_groupApcMUT_HpWT",0.839710018153354,9,9
"PF13606","treatment_group","ApcMUT_HpWT",0.415101976557982,1.1901469803316,0.737508237882317,"treatment_groupApcMUT_HpWT",0.839710018153354,9,8
"PF16408","treatment_group","ApcMUT_HpWT",-0.206397492328767,0.591910349240038,0.737569251886534,"treatment_groupApcMUT_HpWT",0.839710018153354,9,9
"PF17163","treatment_group","ApcMUT_HpWT",-0.206397492328767,0.591910349240038,0.737569251886534,"treatment_groupApcMUT_HpWT",0.839710018153354,9,9
"PF17165","treatment_group","ApcMUT_HpWT",-0.206397492328767,0.591910349240038,0.737569251886534,"treatment_groupApcMUT_HpWT",0.839710018153354,9,9
"PF08909","treatment_group","ApcMUT_HpWT",-0.315053449228649,0.904744084203215,0.737909522355809,"treatment_groupApcMUT_HpWT",0.83995128096998,9,3
"PF02615","treatment_group","ApcMUT_HpWT",0.150757411079828,0.435561444336474,0.739421047571796,"treatment_groupApcMUT_HpWT",0.841501082614929,9,9
"PF11297","treatment_group","ApcMUT_HpWT",-0.286832101522646,0.829425299530687,0.73963814405937,"treatment_groupApcMUT_HpWT",0.841501082614929,9,9
"PF00233","treatment_group","ApcMUT_HpWT",-0.206119439039668,0.596075225163016,0.739656819560066,"treatment_groupApcMUT_HpWT",0.841501082614929,9,9
"PF04170","treatment_group","ApcMUT_HpWT",0.392135931332588,1.13530188335987,0.739938899515036,"treatment_groupApcMUT_HpWT",0.841653129484427,9,8
"PF13493","treatment_group","ApcMUT_HpWT",-0.270418031150061,0.783380607988431,0.740089074602555,"treatment_groupApcMUT_HpWT",0.841653129484427,9,9
"PF13442","treatment_group","ApcMUT_HpWT",0.38092861524516,1.10390902284977,0.740176308096406,"treatment_groupApcMUT_HpWT",0.841653129484427,9,8
